"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"2006","FIRE",15,15,285,0,0,100,11
"2006","FLOOD",7,15,883,1520,2030000,214,12
"2006","FOG",1,0,0,0,0,0,13
"2006","FOREST FIRE",33,0,0,0,14751383,0,14
"2006","FROST",32,2,0,1742,0,6,15
"2006","HAIL",36,0,0,0,0,0,17
"2006","LANDSLIDE",18,0,802,6814,0,0,20
"2006","MARITIME DISASTER",3,3,0,31,0,100,21
"2006","MINING ACCIDENTS",1,17,0,0,0,1700,22
"2006","ROCKSLIDE",9,4,167,1013,0,44,27
"2006","THUNDER",7,0,0,0,0,0,32
"2006","TRAFFIC ACCIDENT",5,103,0,0,0,2060,34
"2007","AVALANCHE",8,3,0,171,0,38,3
"2007","AVIATION ACCIDENT",1,57,0,0,0,5700,4
"2007","DRAUGHT",9,0,0,205,0,0,6
"2007","EARTHQUAKE",8,0,12846,0,0,0,8
"2007","FIRE",16,6,147,0,0,38,11
"2007","FLOOD",11,15,410,122,0,136,12
"2007","FOREST FIRE",60,0,0,0,13669300,0,14
"2007","FROST",10,0,0,0,0,0,15
"2007","HAIL",45,0,0,0,0,0,17
"2007","LANDSLIDE",4,0,26,210,0,0,20
"2007","MARITIME DISASTER",3,1,0,44,0,33,21
"2007","MINING ACCIDENTS",1,1,0,0,0,100,22
"2007","ROCKSLIDE",3,3,79,124,0,100,27
"2007","SNOW",4,0,0,0,0,0,29
"2007","STORM",98,0,0,0,0,0,30
"2007","THUNDER",3,0,0,0,0,0,32
"2007","TRAFFIC ACCIDENT",7,96,0,138,3675,1371,34
"2008","AVALANCHE",13,6,7,33,0,46,3
"2008","DRAUGHT",7,0,0,0,0,0,6
"2008","EARTHQUAKE",2,0,34,0,0,0,8
"2008","FIRE",13,7,193,0,0,54,11
"2008","FLOOD",3,0,7,151,0,0,12
"2008","FOREST FIRE",23,3,86,0,2714554,13,14
"2008","FROST",9,0,0,0,0,0,15
"2008","HAIL",26,0,0,0,0,0,17
"2008","LANDSLIDE",7,1,0,460,0,14,20
